Corpus,Amount,Duplicates
22517531,2,"[198211395, 22517531]"
173187980,2,"[123392306, 173187980]"
195160195,2,"[195160195, 195097956]"
158293619,2,"[158293619, 199060647]"
54361505,2,"[54361505, 54239453]"
122621950,2,"[122621950, 189789623]"
32911302,2,"[31966283, 32911302]"
26188576,2,"[26188576, 6410213]"
197069593,2,"[197069593, 7221669]"
33487129,7,"[32561542, 28793286, 37785848, 33487129, 34737658, 32068763, 30274494]"
93409799,2,"[204161207, 93409799]"
62164241,2,"[62164241, 11547522]"
201652466,2,"[97174714, 201652466]"
58725553,4,"[58725553, 68935295, 116802009, 79431025]"
196986641,2,"[196986641, 196770733]"
142092213,2,"[65309410, 142092213]"
204247691,2,"[135043051, 204247691]"
202148139,2,"[146002426, 202148139]"
156634826,2,"[156634826, 211188525]"
203090123,2,"[203090123, 203023292]"
209828234,2,"[209828234, 117879683]"
196983075,2,"[196983075, 196818167]"
116304695,2,"[116304695, 21515199]"
162477473,2,"[162477473, 27579719]"
34366294,2,"[29355493, 34366294]"
40368256,2,"[84971360, 40368256]"
36039975,2,"[196392630, 36039975]"
17961896,2,"[17961896, 7397588]"
189878262,2,"[189878262, 121027311]"
61164470,2,"[61164470, 35191343]"
5755675,2,"[5755675, 62710171]"
96657422,2,"[93699320, 96657422]"
47561725,2,"[47561725, 22735486]"
196979488,2,"[196979488, 97348819]"
43685966,2,"[43685966, 45340430]"
207947858,2,"[207947858, 207990475]"
189911121,2,"[189911121, 189911281]"
12891080,2,"[12891080, 195915364]"
201738491,2,"[161233570, 201738491]"
13234368,2,"[13234368, 196599582]"
101038199,2,"[95888312, 101038199]"
116085367,2,"[20921347, 116085367]"
52918357,2,"[106028228, 52918357]"
30776011,2,"[30776011, 78815692]"
70977936,2,"[70977936, 84734300]"
119355249,2,"[30390688, 119355249]"
72621497,2,"[72621497, 5730494]"
86238827,2,"[86238827, 196612190]"
201320927,2,"[201320927, 134443903]"
115173225,2,"[208866544, 115173225]"
3602600,2,"[3602600, 149203257]"
132584169,2,"[132584169, 186229685]"
25406765,2,"[62877468, 25406765]"
196654249,2,"[196654249, 31122314]"
196725930,2,"[197377592, 196725930]"
6182187,2,"[45748937, 6182187]"
16386866,2,"[7092496, 16386866]"
9483579,2,"[9483579, 8845917]"
195689853,2,"[195689853, 76964671]"
43172984,2,"[43172984, 1289268]"
202644178,2,"[109355849, 202644178]"
15008576,2,"[15008576, 14709243]"
6887499,2,"[6887499, 196128045]"
205391899,2,"[28588745, 205391899]"
29655792,2,"[29655792, 208177226]"
52931505,2,"[52931505, 134867093]"
37964970,2,"[33659713, 37964970]"
36654548,5,"[31846983, 13525608, 28336487, 33201419, 36654548]"
13549395,2,"[75991449, 13549395]"
40804413,2,"[203786465, 40804413]"
186227894,2,"[186227894, 12816263]"
31312949,2,"[4436572, 31312949]"
2205934,2,"[41111350, 2205934]"
19339279,2,"[71903004, 19339279]"
7240991,2,"[7177447, 7240991]"
189952868,2,"[189952868, 143801775]"
49539603,4,"[69549986, 49539603, 139643773, 115357654]"
196799764,2,"[196799764, 197233175]"
43568683,2,"[35687288, 43568683]"
74545839,2,"[79453525, 74545839]"
121271328,2,"[121271328, 25483042]"
62703331,2,"[62703331, 45668677]"
