id,Amount,Duplicates
10.1.1.175.9170,2,"['10.1.1.175.9170', '10.1.1.175.7787']"
10.1.1.175.7787,2,"['10.1.1.175.9170', '10.1.1.175.7787']"
10.1.1.175.3795,2,"['10.1.1.167.7301', '10.1.1.175.3795']"
10.1.1.174.9094,2,"['10.1.1.174.9094', '10.1.1.168.6478']"
10.1.1.174.1952,2,"['10.1.1.174.1952', '10.1.1.167.215']"
10.1.1.172.9312,2,"['10.1.1.172.9312', '10.1.1.172.9216']"
10.1.1.172.9216,2,"['10.1.1.172.9312', '10.1.1.172.9216']"
10.1.1.172.5544,2,"['10.1.1.68.8428', '10.1.1.172.5544']"
10.1.1.172.5408,4,"['10.1.1.187.7185', '10.1.1.182.1598', '10.1.1.187.7534', '10.1.1.172.5408']"
10.1.1.172.2644,2,"['10.1.1.169.6422', '10.1.1.172.2644']"
10.1.1.170.8142,2,"['10.1.1.170.8142', '10.1.1.169.3189']"
10.1.1.170.8062,2,"['10.1.1.170.8062', '10.1.1.178.4839']"
10.1.1.170.7768,2,"['10.1.1.177.641', '10.1.1.170.7768']"
10.1.1.170.7249,2,"['10.1.1.178.9381', '10.1.1.170.7249']"
10.1.1.170.7211,2,"['10.1.1.178.9490', '10.1.1.170.7211']"
10.1.1.170.6488,2,"['10.1.1.221.7060', '10.1.1.170.6488']"
10.1.1.170.5296,2,"['10.1.1.120.3110', '10.1.1.170.5296']"
10.1.1.170.3227,2,"['10.1.1.180.1060', '10.1.1.170.3227']"
10.1.1.169.9186,2,"['10.1.1.186.7557', '10.1.1.169.9186']"
10.1.1.169.8566,2,"['10.1.1.186.1251', '10.1.1.169.8566']"
10.1.1.169.6422,2,"['10.1.1.169.6422', '10.1.1.172.2644']"
10.1.1.169.3532,2,"['10.1.1.218.9310', '10.1.1.169.3532']"
10.1.1.169.3189,2,"['10.1.1.170.8142', '10.1.1.169.3189']"
10.1.1.169.2669,2,"['10.1.1.169.2669', '10.1.1.178.4377']"
10.1.1.169.2573,2,"['10.1.1.178.4340', '10.1.1.169.2573']"
10.1.1.169.2388,2,"['10.1.1.221.7572', '10.1.1.169.2388']"
10.1.1.168.8,2,"['10.1.1.168.8', '10.1.1.180.1751']"
10.1.1.168.6478,2,"['10.1.1.174.9094', '10.1.1.168.6478']"
10.1.1.167.7301,2,"['10.1.1.167.7301', '10.1.1.175.3795']"
10.1.1.167.215,2,"['10.1.1.174.1952', '10.1.1.167.215']"
10.1.1.167.1514,2,"['10.1.1.167.1514', '10.1.1.183.9194']"
10.1.1.165.9793,6,"['10.1.1.26.5588', '10.1.1.207.214', '10.1.1.165.9793', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.49.9700']"
10.1.1.165.8237,2,"['10.1.1.165.8237', '10.1.1.225.9097']"
10.1.1.165.6135,2,"['10.1.1.63.8929', '10.1.1.165.6135']"
10.1.1.165.4526,2,"['10.1.1.165.4526', '10.1.1.180.2178']"
10.1.1.165.1151,2,"['10.1.1.165.1151', '10.1.1.78.9124']"
10.1.1.164.3234,2,"['10.1.1.164.3234', '10.1.1.138.7886']"
10.1.1.164.2486,2,"['10.1.1.190.9025', '10.1.1.164.2486']"
